GBSid,PH,LW,FT
3940,129.2,16.92,45
2428,143,18.2,87
89,143,26.2,58
3131,131.6,38.12,47
31,133.5,21.9,51
3589,175.78,31.9,62
3283,136,34.33,49
5172,122,29.6,61
2018,159.8,21.36,65
2174,165.2,27.6,61
356,141.2,27.8,51
2665,105,12.9,56
181,151.2,33.2,67
1713,189,20.2,84
1933,182.4,18.1,60
338,141,23.6,52
3813,167.6,36,64
3822,148.2,20.6,68
5976,165.2,20.35,43
2168,168.068,23.01333333,55
540,173.4,26.2,55
2391,161,21,70
471,162.6,26.8,71
3145,169.6,30.54,47
5443,125.2,28,23
209,148.2,31.4,53
2,177.1,25,60
3,101.7,28.8,54
3133,152.4,32.06,40
2579,146.8,28.6,61
4761,137,28.53,75
1671,130,21.2,55
2237,141.7,29.6,56
3367,151,30.7,57
3447,246.4,29.8,65
4852,195,29.9,67
3037,118.8,36.5,64
3967,143.16,33.06666667,54
3248,193,37,60
2319,162.7,31.3,62
1744,90,16.8,59
2921,109.8,15.2,44
703,100,15.2,69
2313,157.1,35.6,57
613,109.6,15.6,59
4573,220.8,36.02,58
5347,143.2,20.6,48
2667,80,11.9,66
5351,132.15,25.1,67
661,201.6,29.6,58
5751,157.6666667,24.4,60
2784,94.58,15.1,82
4071,137.2,26.1,52
223,150,24.1,68
576,143.2,30.5,38
1998,147,29.4,73
1077,203.6,30.1,62
4401,173.2,33.5,80
1813,149.4,17.6,39
3235,205.8,24.8,57
80,153.9333333,35.9,56
5134,144,23.5,80
3277,137.4266667,30.93333333,58
3083,175.6,22.22,57
3616,150,21.6,60
1646,157,24,67
2430,115,17.2,68
4122,114.48,27.3,71
2533,149.2,31.4,55
4724,148.7,30,50
1934,148,15,50
497,175.8,29.9,60
2898,135.4,30.76,47
4918,134.8,29.27,55
3602,128.2,32.9,68
2332,179.6,26.82,74
5301,151.3,13.1,64
3075,162,30.04,65
4859,135.6,18.4,63
581,104,26.2,33
4373,145.09,26.3,65
1379,188,39.7,74
334,159.4,29,61
5568,150.5,26.4,57
1129,157.8,30.6,61
102,177.1,23.7,51
5150,116,32.6,63
4698,150,20.55,76
5078,212.6,29.6,76
4693,181.05,29.3,56
1162,141.73,35.54,51
4420,155.33,30.77,74
4464,213.4,46.6,80
5643,112.6,24.8,78
720,151.3,18.3,70
1186,136,16.9,55
4198,133.3,27.6,60
4935,154.73,30.93,61
3322,160.42,25.92,60
3332,141.78,23.4,67
4408,163.4,24.5,62
326,144.6,24.4,58
123,136,23.5,60
5601,147.1,29.2,68
2326,168.48,32.12,92
3995,159.4,29.6,68
229,165.6,30.2,50
5070,166.5,30.1,73
522,210,27,110
4295,173,31.4,62
5008,173.27,30,59
3349,161.6,32.3,44
2167,183.53,34.02,66
4468,228.5,43.95,79
2799,102,17.4,65
2633,152.4,21.8,64
4400,172,44.95,75
5164,167.8,32.2,67
5069,187.5,30.5,78
582,154,23.4,58
5319,163,28.3,76
3530,25.5,13.3,45
323,157.93,27.46666667,53
2576,194.6,34.2,63
4283,172.7,34.3,57
2715,123.8,9.5,86
793,117.1,24,39
4362,221,45.9,68
1632,156.6,33.6,49
5549,174,29.8,77
1803,105.6,21.6,89
2886,89,20,73
3629,112,13.7,69
2897,119.6,25.36,60
1613,149,36,70
1,149.7,25.1,62
4086,143.67,29.02,64
4488,160.1,30.8,68
2242,182,36.46,67
68,187.3,29.2,70
2618,109.4,39.1,58
282,159,39.8,49
2301,178.4,25.24,70
5032,129.4,26.6,68
401,98.75,26.5,41
1630,133,23.2,50
4425,155.8,30.22,70
2966,117.857,20.71,55
4130,107.4,21.3,68
6053,131.5,24.75,51
3404,147,30.6,45
213,145.2,34.6,53
5334,100.5,23.6,63
1220,160.8,36,67
5086,235.888,29,78
2685,113,15.8,66
3012,156.6,32.2,38
3691,175,29.38,73
26,162.8,24.7,53
488,138.6,31.2,51
1371,175,29.7,72
1526,127.6,32.6,51
2246,150.2,29.2,63
3022,154.4,23.26,46
4951,131.6,23.87,51
5450,143.35,26.46,38
4163,150.6,27,38
4311,174.5,28.64,62
2362,146.9,31,62
5938,134.9,26,56
1310,201,26.44,72
2406,128,30,76
3013,167.22,28.14,54
2047,153.14,26.78,56
1318,177.4,34.3,60
3836,189,28.7,52
2808,101.4,23.2,58
2627,152,31.2,54
110,167,29,65
3714,156.9,32.85,62
2529,189,38.1,62
4496,155,23.75,65
1571,135,23,60
1122,160.2,36.68888889,62
5479,135.7,34.47,40
3755,176.2,25.8,65
4152,113.3,10.4,43
1825,100.1,22.6,42
1633,122,19.2,50
1046,193,26.13,51
4255,147.4,27,84
1176,172,35.9,56
3711,179.2,31.55,71
5357,69.05,11.65,25
3157,151.6,36.44,47
4610,198.3,27,65
1174,156.53,37.33333333,50
4613,156.3,33.05,69
622,129.6,20,51
4874,135.6,33,66
3034,129.8,33.5,64
2429,153.08,27.64,69
4133,154.1,16.14,68
2291,177.6,30.1,67
2364,129,31.55,66
821,149,18.6,66
3912,151,39,61
4629,165.4,24.5,61
5964,192,22.05,58
1714,114,17.6,62
4262,146.4,20.3,59
2445,161.6,29,60
3928,175,31.6,59
1231,121.5,24.1,102
3572,164,22.76,64
1610,102.7,33.3,64
3534,36,12.3,26
1935,190,23.9,61
3130,108.1,35.7,43
3587,173.6,40.5,62
4444,159.4,32.2,64
748,80.4,13.6,55
1431,173.042,35.2,69
3974,175.78,31.3,59
1088,132.51,19.2,66
4895,114.47,24.73,53
796,162.9,22.6,56
1372,161.5,23.4,101
2336,168,29.2,63
3185,127.2,41.62,50
1590,172.8,31.08,60
1434,200.72,33.64,77
1221,151.8,24.6,71
3807,152.2,20.5,61
1398,118,12.8,54
3781,230.8,28.76,88
2476,150,30,63
3702,190.2,35.6,63
2446,188.2,16.7,62
4192,154,31.8,64
4056,277.05,30.5,120
5277,151.8,37.7,60
4482,155.2,30.9,63
97,214.5,29.6,61
1073,155.8,33.96,66
2505,134.3,37,53
4186,118.3,28.6,56
5712,123.6666667,22.53333333,61
2780,108.6,21.4,66
3911,160,27.3,68
5477,119.7,33.59,52
5600,168.8,28.9,63
5994,181.9,29.7,53
2770,96,19.6,58
3174,128.4,33,48
5740,164,27.4,60
4675,177.4,29.4,87
1823,154.6,25,41
3309,123.8333333,25.08666667,50
5544,183.3,31.3,79
2235,151.8,29.8,55
2329,163.59,29.6,61
3343,127.86,17.04,52
4713,159.8,33.38,60
280,200,39.8,54
3645,209.1,39.3,79
5102,182,27.1,54
4280,131.8,27.6,54
467,203.8,27.1,93
1183,139.1,22.6,69
1049,187.2,25.5,56
303,142,28.6,62
1644,123.2,19.8,57
4751,152.53,22.8,75
1551,147.6,36.64,51
5557,96.5,12,59
1959,120.2,21.9,63
2867,116,27.1,67
4972,145.8,26.87,54
2163,159.466,37.76666667,58
3091,111.5,37.58,45
3601,164,20,70
4756,159.92,32.35,80
3740,159,24.68,47
4296,180.5,33.6,64
3061,190.6,32.2,56
2937,111.85,34.42,65
1578,119.5,33.4,55
400,128.4,26.9,59
1789,103.8,14.5,44
3747,176,28.3,63
4189,132.5,35.05,51
560,124,30,76
714,145.9,22.4,57
261,188,40.6,54
1875,191,27,56
3887,125.8,25,50
1066,175.8,25.3,57
4967,132.93,23.53,59
5139,127.2,29.3,55
4930,128.4,27.93,73
443,153.3,22.9,61
125,190.2,36.6,67
2400,154,25.2,61
3679,199.4,37.6,57
584,128,34.3,45
846,174.2,15.28571429,67
347,138.4,22.2,47
423,164.3,27.3,60
1786,86,14.4,51
655,245.2,38.2,57
1574,150.2,25.22,55
1329,125.34,24.84,55
1293,164.4,20.6,68
4911,112.73,25.13,66
6006,155.8,33.26,47
1862,194.8,34.4,65
4190,171,27.4,58
3730,119.9,31.8,50
2451,164.4,35.6,89
2335,172,29.6,57
3041,130,33.4,65
1486,137.8,44.2,61
4104,123.5,29.7,48
1969,143.6,20.2,58
3872,132.6,23,64
173,175.2,28.4,70
2749,102,21,66
4136,105.3,28,42
5432,147.2,32.31,44
2034,178.62,38.08,60
1435,150.8,37.05,71
3952,164.8,22.1,56
4246,154,29.6,72
251,191,41.8,52
5388,140,26,56
3934,144.6,34.4,45
4087,169.7,25,54
1589,136,24.54,63
5267,203.02,21.3,67
1423,146.733,33.26666667,49
3863,176.7,23.7,60
397,95,20,48
494,183.6,26,72
1573,134.6,21.7,62
694,108,19,77
137,164.8,22.9,66
427,186.7,28,65
4098,173,20.6,66
4145,121.9,23.1,48
3744,144.3,30.38,57
3788,153,23,63
16,142.8,21.1,50
6049,157.1,21.15,51
2805,89.6,16,70
5642,105.4,23.7,61
5721,120.6666667,18.6,61
1236,165.7,27.4,66
435,180,27.5,52
5145,137.4,34.4,55
2989,140.8,25.8,52
155,192,34.5,57
556,108.8,25.2,42
4736,187.574,26.95,63
3703,168.6,28.7,68
5951,125.2,23.2,46
4802,177.16,28.2,56
4507,168.5,29.25,70
1756,116.8,46.6,47
3203,125,33.96,39
1732,77,13.6,43
2323,122.51,30.44,48
3129,131,27.38,51
2661,88,12.4,59
2525,187.8,30.56,58
1873,183,24,55
3741,163.5,21,47
3315,142,16,107
2928,125.2,27.3,105
3600,155,25,70
4470,137.67,31.97,54
4851,161,31.3,63
2955,135.5,30.95,53
3825,185.2,32.8,61
2311,164,33,57
492,279.4,43,70
3204,144.8,36.68,46
4281,167.1,35.1,55
1513,146.4,32.6,50
1928,170,17,60
3080,143.3,41,61
5555,119.6,23.5,81
411,155.8,24.58,46
1742,68,12.8,46
731,144.7,18.5,74
3950,134.6,24.8,59
5589,123.33,35.11,27
224,147.8,21.8,60
3074,149,36.58,68
2128,142.9,26.3,50
5962,162.25,23.57,50
1444,174.2,25.2,71
382,70.8,24.2,42
3878,131.4,18.6,50
1127,121.03,27.04,44
2736,123.46,29.76,41
1464,145.1,32.85,58
1792,139.8,31.32,47
279,244,34.8,60
5308,197.3,26.6,94
816,168.8,20,54
